dataset,n,criterion,kappa_weighted,kappa_unweighted,motor_lo_cut,motor_hi_cut,crit_lo_cut,crit_hi_cut,n_low_motor,n_mid_motor,n_high_motor,pct_low_motor,pct_mid_motor,pct_high_motor,n_low_crit,n_mid_crit,n_high_crit,pct_low_crit,pct_mid_crit,pct_high_crit,analysis,cutoff_pct,n_true_high,n_pred_high,pct_pred_high,kappa_binary,sensitivity,specificity,PPV,NPV,auc_top33
df3 SWASH,418,full_total,,,,,,,,,,,,,,,,,,,binary,12%,45.0,38.0,0.091,0.425,0.444,0.952,0.526,0.934,0.896
df3 SWASH,418,full_total,,,,,,,,,,,,,,,,,,,binary,15%,54.0,38.0,0.091,0.392,0.389,0.953,0.553,0.913,0.896
df3 SWASH,418,full_total,,,,,,,,,,,,,,,,,,,binary,20%,72.0,77.0,0.184,0.469,0.583,0.899,0.545,0.912,0.896
df3 SWASH,418,full_total,,,,,,,,,,,,,,,,,,,binary,33%,133.0,132.0,0.316,0.597,0.722,0.874,0.727,0.871,0.896
df5 vEAR PCS,452,full_total,,,,,,,,,,,,,,,,,,,binary,8%,37.0,19.0,0.042,0.357,0.297,0.981,0.579,0.94,0.858
df5 vEAR PCS,452,full_total,,,,,,,,,,,,,,,,,,,binary,10%,46.0,19.0,0.042,0.329,0.261,0.983,0.632,0.921,0.858
df5 vEAR PCS,452,full_total,,,,,,,,,,,,,,,,,,,binary,12%,52.0,49.0,0.108,0.387,0.442,0.935,0.469,0.928,0.858
df5 vEAR PCS,452,full_total,,,,,,,,,,,,,,,,,,,binary,15%,63.0,49.0,0.108,0.349,0.381,0.936,0.49,0.903,0.858
df5 vEAR PCS,452,full_total,,,,,,,,,,,,,,,,,,,binary,20%,91.0,49.0,0.108,0.368,0.352,0.953,0.653,0.854,0.858
df5 vEAR PCS,452,full_total,,,,,,,,,,,,,,,,,,,binary,33%,142.0,104.0,0.23,0.435,0.507,0.897,0.692,0.799,0.858
df4 HGSHS:A inv,584,full_total,,,,,,,,,,,,,,,,,,,binary,8%,47.0,36.0,0.062,0.443,0.426,0.97,0.556,0.951,0.893
df4 HGSHS:A inv,584,full_total,,,,,,,,,,,,,,,,,,,binary,10%,55.0,36.0,0.062,0.418,0.382,0.972,0.583,0.938,0.893
df4 HGSHS:A inv,584,full_total,,,,,,,,,,,,,,,,,,,binary,12%,66.0,36.0,0.062,0.446,0.379,0.979,0.694,0.925,0.893
df4 HGSHS:A inv,584,full_total,,,,,,,,,,,,,,,,,,,binary,15%,76.0,72.0,0.123,0.489,0.539,0.939,0.569,0.932,0.893
df4 HGSHS:A inv,584,full_total,,,,,,,,,,,,,,,,,,,binary,20%,101.0,72.0,0.123,0.48,0.475,0.95,0.667,0.896,0.893
df4 HGSHS:A inv,584,full_total,,,,,,,,,,,,,,,,,,,binary,33%,190.0,175.0,0.3,0.622,0.711,0.898,0.771,0.866,0.893
df4 HGSHS:A obj,584,full_total,,,,,,,,,,,,,,,,,,,binary,8%,37.0,0.0,0.0,0.0,0.0,1.0,,0.937,0.841
df4 HGSHS:A obj,584,full_total,,,,,,,,,,,,,,,,,,,binary,10%,37.0,0.0,0.0,0.0,0.0,1.0,,0.937,0.841
df4 HGSHS:A obj,584,full_total,,,,,,,,,,,,,,,,,,,binary,12%,37.0,0.0,0.0,0.0,0.0,1.0,,0.937,0.841
df4 HGSHS:A obj,584,full_total,,,,,,,,,,,,,,,,,,,binary,15%,87.0,0.0,0.0,0.0,0.0,1.0,,0.851,0.841
df4 HGSHS:A obj,584,full_total,,,,,,,,,,,,,,,,,,,binary,20%,87.0,0.0,0.0,0.0,0.0,1.0,,0.851,0.841
df4 HGSHS:A obj,584,full_total,,,,,,,,,,,,,,,,,,,binary,33%,143.0,143.0,0.245,0.555,0.664,0.891,0.664,0.891,0.841
