ParticipantNumber,Condition,Age,Gender,FIRSTOBJECTIVE/10,FIRSTSUBJECTIVE/5,RTsubj/5,RTObjectiveScore,ColoursRecalled,NumColoursRecalled,HandLoweringObjectiveRating,HandsTogetherObjectiveRating,MosquitoObjectiveRating,ArmRigidityObjectiveRating,ArmImmobilisationObjectiveRating,MusicObjectiveRating,TasteObjectiveRating,AmnesiaObjectiveRating,VisualHallucinationObjectiveRating,PostHypnoticObjectiveRating,TotalObjectiveScoreWithoutPostSessionExp,HandLoweringSubjectiveRating,HandsTogetherSubjectiveRating,MosquitoSubjectiveRating,TasteSubjectiveRating,ArmRigiditySubjectiveRating,ArmImmobilisationSubjectiveRating,MusicSubjectiveRating,VisualHallucinationSubjectiveRating,AmnesiaSubjectiveRating,PostHypnoticSubjectiveRating,TotalSubjectiveScore,SweetObjRating,SweetObjYN,SourObjRating,SourObjYN,PreSuggestionRecall,PostSuggestionRecall,SweetSubRating,SourSubRating,PostHypnoticSub1,PostHypnoticSub2,ExperimentDuration,MASscore,MCSDScore,PSWQscore,RETEST,ParticipantNumber_48,Condition_49,Age_50,Gender_51,ColoursRecalled_52,NumColoursRecalled_53,VisualHallucinationObjectiveRating_54,PostHypnoticObjectiveRating_55,HandLoweringObjectiveRating_56,HandsTogetherObjectiveRating_57,MosquitoObjectiveRating_58,ArmRigidityObjectiveRating_59,ArmImmobilisationObjectiveRating_60,MusicObjectiveRating_61,TasteObjectiveRating_62,AmnesiaObjectiveRating_63,TotalObjectiveScoreWithoutPostSessionExp_64,HandLoweringSubjectiveRating_65,HandsTogetherSubjectiveRating_66,MosquitoSubjectiveRating_67,TasteSubjectiveRating_68,ArmRigiditySubjectiveRating_69,ArmImmobilisationSubjectiveRating_70,MusicSubjectiveRating_71,VisualHallucinationSubjectiveRating_72,AmnesiaSubjectiveRating_73,PostHypnoticSubjectiveRating_74,TotalSubjectiveScore_75,SweetObjRating_76,SweetObjYN_77,SourObjRating_78,SourObjYN_79,PreSuggestionRecall_80,PostSuggestionRecall_81,SweetSubRating_82,SourSubRating_83,PostHypnoticSub1_84,PostHypnoticSub2_85
528,1,18,0,3,1.92,1.7,3,GREEN BLUE RED,3,1,1,0,0,0,0,1,0,0,0,3,4,3,1,2,2,2,0,0,3,2.23607,19.2361,2,1,3,1,"HAND HEAVY BALL, HANDS TOGETHER, COLOUR OF BALLS, COUNTDOWN, PRESS SPACE 6 TIMES","COUNTING FROM 1 TO 20, RELAX EVERY PART OF THE BODY, STIFF HAND, TRY TO BEND , LEFT HAND HEAVY, TRY TO LIFT",1,3,5,1,71.549,18,17,37,1,528,0,18,0,RED BLUE GREEN,3,0,1,1,1,0,0,0,0,0,0,3,4,4,1,0,3,3,0,0,2,0,17,1,0,1,0,"WALKING DOWN STAIRS, ARM GOING DOWN CARRYING HEAVY ITEM, ARMS TOWARDS EACHOTHER, MOSQUITO, LEFT HAND HEAVY, HAPPY BIRTHDAY SONG,",I REMEMBER NOTHING NEW,0,0,5,0
530,0,19,1,3,1.55,0.7,3,GREEN BLUE ORANGE,3,0,1,1,0,0,0,1,0,0,0,3,2,3,3,2.5,2,3,0,0,0,0,15.5,2,1,3,1,"PUT MY ARM OUT AND HAD TO IMAGINE IT WENT STIFF, LEFT HAND ON MY LAP WAS MEANT TO BE FEELING HEAVY, HAD TO REMEMBER THE COLOUR O",WALKING DOWN THE STAIRS,1,4,5,0,66.9452,23,10,44,1,530,1,19,1,GREEN ORANGE BLUE,3,0,1,0,1,0,1,0,0,0,0,3,2,1,0,0,2,2,0,0,0,0,7,1,0,1,0,"ARM OUT STIFF, THREE BALLS, HAPPY BIRTHDAY MUSIC, MOSQUITO, ARMS PUT OUT TOGETHER AND FORCED TOGETHER, HEAVY WEIGHT IN HAND ,",,0,0,0,0
542,1,19,1,4,1.45,1.8,4,RED BLUE GREEN,3,1,1,0,1,0,0,0,0,0,1,4,2,5,0,0.5,5,2,0,0,0,0,14.5,1,0,2,0,"MORE RELAXED, FELT AS IF I HAD NO CONTROL OVER MY BODY, I DIDNT HERE ANY MUSIC, I OFTEN DRIFTED AWAY IN MY THOUGHTS, I HAD A BET","I REMEMBERED EVERYTHING BEFORE, I HAD NO MEMORY LOSS, I FELT SOMETIMES QUIET UNCOMORFABLE DURING THE HYPNOTISATION,",0,1,5,0,63.4595,24,17,56,1,542,0,19,1,GREEN BLUE RED,3,0,0,1,1,0,1,1,0,0,0,4,4,5,0,0,5,4,0,0,0,0,18,1,0,1,0,"HANDS PULLED TOGETHER, HAND PULLED DOWN, LEFT HAND HEAVY, 3 BALLS SHOWN, HAPPT BIRTHDAY, MOSQUITO, 6 TIMES SPACE, STIF HAND",I REMEMBER NOTHING NEW,0,0,3,0
543,0,18,0,4,1.1,1.65,4,RED BLUE GREEN,3,1,1,0,1,0,0,0,0,0,1,4,3,3,0,1,3,0,0,0,1,0,11,2,0,2,0,"I PUT MY RIGHT ARM OUT AND IT GOT HEAVY, I PUT BOTH ARMS OUT AND THEY WERE ATTRACTED TO EACHOTHER, I IMAGINED A MOSQUITO ON MY A","I IMAGINED A SWEET AND SOUR TASTE, I FELT MY ARMS GO HEAVY",1,1,5,0,65.1884,14,12,55,1,543,1,18,0,RED GREEN BLUE,3,0,1,1,1,0,1,0,0,0,0,4,4,4,0,0.5,4,3,0,0,1,0,16.5,1,0,2,0,"RIGHT ARM GOT HEAVY, TWO ARMS ATTRACTED TO EACHOTHER, ARM GOT STIFF, MOSQUITO ON RIGHT HAND, SWEET AND SOUR TASTE IN MOUTH, HAPP",HAD TO PRESS SPACE BAR 6 TIMES AFTER PLEASE WAIT,0,1,5,0
546,1,19,0,6,0.65,0.4,3,BLUE GREEN ORANGE,3,0,1,1,1,1,0,1,1,0,0,6,1,1,0,0.5,1,0,0,0,3,0,6.5,1,1,2,1,THE INSTRUCTOR HAS REQUESTED FOR ME TO RELAX ALL MUSCLES. LATER ON I WAS INSTRUCTED TO HOLD OUT MY RIGHT HAND AND IMAGINE SOMETH,"I WAS TOLD TO PUT BOTH MY LEFT AND RIGHT ARMS OUT, PALMS FACING EACH OTHER AND IMAGINE A FORCE PULLING THEM TOGETHER. THEN I WAS",0,1,0,4,74.1773,23,12,53,1,546,0,19,0,GREEN BLUE ORANGE,3,0,0,0,1,0,1,1,0,0,0,3,1,0,0,1,2,0,0,0,0,0,4,1,0,3,0,"RIGHT HAND WEIGHED DOWN, TWO HANDS DRAWN TOGETHER, MOSQUITO FLYING, HAPPY BIRTHDAY, LEFT HAND HEAVY ON LAP, PRESS SPACE BAR 6 TI","3 BALLS ON SCREEN WERE SHOWN INSTEAD OF 2, ",0,2,3,0
553,1,20,0,3,1.15,2.5,4,RED GREEN BLUE,3,1,0,1,0,0,0,0,0,0,1,3,2,1,3,1.5,2,2,0,0,0,0,11.5,2,0,3,0,I WAS TOLD TO COMPLETELY RELAX AND INFORMED THAT I WILL SOON BE DEEPLY HYPNOTHISED. THE INSTRUCTOR COUNTER FROM 1 TO 20. HE TOLD,I FEEL LIKE I WAS ABLE TO RECALL EVERYTHING THE FIRST TIME AROUND.,1,2,5,0,63.5184,39,13,75,1,553,0,20,0,GREEN BLUE RED,3,0,0,1,1,0,1,0,0,1,0,4,5,3,0,4,5,2,0,0,1,5,25,3,0,4,1," I WAS ASKED TO EXTEND MY RIGHT ARM AND SLOWLY PUT IT DOWN, TO EXTEND BOTH OF MY ARMS AND PUT THEM TOGETHER, FEEL A STIFFNES IN ","THE INSTRUCTOR COUNTED TO TWENTY AND ASKED ME TO IMAGINE I WAS GOING DOWN STAIRS, TO BREATHE AND RELAX ",3,5,5,5
554,0,18,1,5,2.05,0.15,1,BLUE ORANGE GREEN,3,1,1,0,1,1,0,1,0,0,0,5,4,3,0,4.5,5,4,0,0,0,0,20.5,4,0,4,1," YOU ASKED TO HOLD MY ARM OUT AND FEEL A WEIGHT IN MY ARM, THE TO HOLD BOTH ARMS OUT, PALMS FACING EACH OTHER AND TO FEEL THE DR","THERE WAS THAT BALL THING WHERE IT WAS SAID TO BE 2 BALLS BUT 3 APPEARED ON SCREEN, RED BLUE AND ORAANGE- THATS ALL I MISSED",4,5,5,0,58.089,19,7,32,1,554,1,18,1,BLUE ORANGE GREEN,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0,1.5,2,0,1,0,"HEAVY OBJECT, TASTE, BALLS, STIFF ARM, MOSQUITOS, HAPPY BIRTHDAY, PRESS SPACE 6 TIMES, HEAVY HAND, HANDS BEING PULLED TOGETHER",,1,0,5,0
557,1,20,0,2,1,0.6,1,RED BLUE GREEN,3,0,0,1,0,0,0,0,0,0,1,2,3,0,1,1,2,2,0,0,1,0,10,1,0,2,0,"CLOSE EYES, BREATHE, RELX BODY, HEAVY BODY, LIFT AND LOWER ARMS, COLOURED BALLS, COUNTDOWN, PRESS SPACE 6 TIMES","PLACE YOUR HANDS ON YOUR LAP, TOLD THERE WAS A MOSQUITO ON MY HAND, TOLD THAT THE HAPPY BIRTHDAY SONG WAS PLAYING AND TO RAISE R",0,2,5,0,64.772,15,18,32,1,557,0,20,0,GREEN RED BLUE,3,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,2,0,0,0,0,0,6,1,0,2,0,"LOOK AT THE COLOUR OF THE BALLS, WRITE THE COLOUR OF THE BALLS, LIFT YOUR ARM UP, MOSQUITO, HAPPY BIRTHDAY SONG, HAND WILL FEEL ",-,0,2,0,0
565,1,18,0,4,1.6,0.9,3,BLUE GREEN ORANGE,3,1,1,0,0,0,0,1,1,0,0,4,5,4,1,0,1,2,0,0,1,2,16,1,1,1,0," MY RIGHT ARM FELT HEAVY , I FELT A BOWLING BALL ON MY RIGHT ARM, MY TWO ARMS WERE GETTING CLOSER, I WAS SUPPOSED TO FEEL A SUGA","MOSQUITO ON MY HAND, MY LEFT ARM AND HAND FEELING REALLY HEAVY, BEING ASKED TO WRITE DOWN COLOURS OF BALLS ON SCREEN",0,0,4,1,70.0536,12,14,27,1,565,0,18,0,BLUE GREEN ORANGE,3,0,1,1,1,0,0,0,0,0,0,3,3,3,0,0,1,2,0,0,0,0,9,1,0,1,0,"SOMETHING HEAVY IN RIGHT HAND, ARMS PULLING CLOSE TOGETHER, MOSQUITO ON RIGHT HAND BUZZING AND BIGHTING, LEFT ARM AND HAND FEELI","GOING DOWN STAIRS, TASTING SWEET AND SOUR THINGS IN MOUTH,RIGHT ARM FEELING STIFF",0,0,1,0
567,1,22,0,6,2.23,1.35,3,,0,1,1,1,1,1,0,1,0,0,0,6,5,5,1,0.5,4,3,0,0,1,2.82843,22.3284,2,1,1,0,ARM UP HEAVY ARM TASTE MOUTH HEAVY HAND SAPCE BAR WAKE UP,"TRIED TO HEAR HAPPY BIRTHDAY, RELAXING WHOLE BODY, SWEET AND SOUR, NO BALLS",1,0,4,2,69.6456,19,16,40,1,567,0,22,0,BLUE GREEN RED,3,0,0,1,1,0,0,0,0,1,0,3,3,5,1,0.5,2,1,0,0,1,0,13.5,2,1,1,1,HEAVY ARM MAGNET HANDS MOSQUITO NUMB HAND HAPPY BIRTHDAY BALLS SPACE BAR X6,"WALKING DOWN THE STAIRS AT THE START, SWEET AND SOUR TASTE IN MOUTH",1,0,5,0
568,0,18,1,5,2.99,2.6,6,GREEN BLUE ORANGE,3,1,1,0,1,1,0,1,0,0,0,5,5,5,3,4,5,4,0,0,0,3.87298,29.873,3,0,4,0,"TO FOCUS ON WALKING DOWN 20 STEPS, TO HOLD MY RIGHT ARM OUT,PALM UP AND IMAGINE A HEAVY BOWLING BALL ON IT, TO STICK MY RIGHT AR",TO NAME THE COLOUR OF BALLS,4,4,5,3,60.6504,38,12,70,1,568,1,18,1,BLUE GREEN ORANGE,3,0,0,1,1,1,1,1,0,1,0,6,5,4,4,4,4,4,0,0,1,0,26,3,0,4,1,"RIGHT HAND HOLDING HEAVY, RIGHT HAND STIFF, LEFT HAND HEAVY, LISTENING TO HAPPY BIRTHDAY, PRESS SPACE BAR 6 TIMES, SWEET AND SOU",,4,4,5,0
582,0,18,0,3,1.35,1.6,4,GREEN RED BLUE,3,0,1,0,0,0,0,1,1,0,0,3,3,1,1,3.5,3,1,0,0,1,0,13.5,4,1,2,0,I HAD TO FEEL MY RIGHT HAND AND IMAGINE I AM HOLDING SOMETHING HEAVY IN IT SUCH THAT IT MADE IT GO DOWN. THEN IMAGINE A MOSQUITO,TRYING TO REMEMBER THREE COLOURED BALLS. PRESSING THE SPACE BAR SIX TIMES.PRETENDING THAT MY HANDS WERE MAGNETIC AS THOUGH MOVIN,5,2,5,0,65.5267,36,11,65,1,582,1,18,0,BLUE GREEN RED,3,0,1,1,0,0,0,0,1,1,0,4,3,1,0,2,1,1,0,0,3,5,16,4,0,2,0,"RIGHT HAND HELD SOMETHING HEAVY, BOTH HANDS WERE ATTRACTED TO EACH OTHER, GREAT HEAVINESS ON THE LEFT SIDE OF THE BODY, LISTENIN",NOTHING ELSE,3,1,5,5
586,0,19,0,4,2.1,2.7,3,GREEN BLUE RED,3,1,0,0,1,1,0,1,0,0,0,4,4,2,2,3,4,3,1,0,2,0,21,4,0,3,1,"THERE WAS A MOSQUITO ON MY HAND, I HELD A HEAVY BOWLING BALL, I HELD MY RIGHT HAND OUT PALM FACING UPWARDS THEN BOTH MY HANDS OU",ASKED TO PRESS THE SPACE BAR 6 TIMES TO CONTINUE,4,2,1,0,57.7704,27,23,35,1,586,1,19,0,BLUE GREEN ORANGE,3,0,0,1,0,1,0,0,1,0,0,3,4,5,2,4,3,3,0,0,3,3,27,3,0,3,0,"HAPPY BIRTHDAY SONG. 3 COLOURED BALLS. HOLDING MY ARMS OUT, PALMS FACING UPWARDS AND EACH OTHER, HOLDING A BOWLING BALL, A MOSQU",PRESS THE SPACE BAR 6 TIMES,4,4,3,3
