ParticipantNumber,Condition,Age,Gender,FIRSTOBJECTIVE/10,FIRSTSUBJECTIVE/5,RTsubj/5,RTObjectiveScore,ColoursRecalled,NumColoursRecalled,HandLoweringObjectiveRating,HandsTogetherObjectiveRating,MosquitoObjectiveRating,ArmRigidityObjectiveRating,ArmImmobilisationObjectiveRating,MusicObjectiveRating,TasteObjectiveRating,AmnesiaObjectiveRating,VisualHallucinationObjectiveRating,PostHypnoticObjectiveRating,TotalObjectiveScoreWithoutPostSessionExp,HandLoweringSubjectiveRating,HandsTogetherSubjectiveRating,MosquitoSubjectiveRating,TasteSubjectiveRating,ArmRigiditySubjectiveRating,ArmImmobilisationSubjectiveRating,MusicSubjectiveRating,VisualHallucinationSubjectiveRating,AmnesiaSubjectiveRating,PostHypnoticSubjectiveRating,TotalSubjectiveScore,SweetObjRating,SweetObjYN,SourObjRating,SourObjYN,PreSuggestionRecall,PostSuggestionRecall,SweetSubRating,SourSubRating,PostHypnoticSub1,PostHypnoticSub2,ExperimentDuration,MASscore,MCSDScore,PSWQscore,RETEST,ParticipantNumber_48,Condition_49,Age_50,Gender_51,ColoursRecalled_52,NumColoursRecalled_53,VisualHallucinationObjectiveRating_54,PostHypnoticObjectiveRating_55,HandLoweringObjectiveRating_56,HandsTogetherObjectiveRating_57,MosquitoObjectiveRating_58,ArmRigidityObjectiveRating_59,ArmImmobilisationObjectiveRating_60,MusicObjectiveRating_61,TasteObjectiveRating_62,AmnesiaObjectiveRating_63,TotalObjectiveScoreWithoutPostSessionExp_64,HandLoweringSubjectiveRating_65,HandsTogetherSubjectiveRating_66,MosquitoSubjectiveRating_67,TasteSubjectiveRating_68,ArmRigiditySubjectiveRating_69,ArmImmobilisationSubjectiveRating_70,MusicSubjectiveRating_71,VisualHallucinationSubjectiveRating_72,AmnesiaSubjectiveRating_73,PostHypnoticSubjectiveRating_74,TotalSubjectiveScore_75,SweetObjRating_76,SweetObjYN_77,SourObjRating_78,SourObjYN_79,PreSuggestionRecall_80,PostSuggestionRecall_81,SweetSubRating_82,SourSubRating_83,PostHypnoticSub1_84,PostHypnoticSub2_85
498,1,18,0,5,1.4,2,5,BLUE GREEN ORANGE,3,1,1,0,1,0,0,1,0,0,1,5,3,2,1,2,3,2,0,0,1,0,14,2,1,3,1,"CLOSE EYES, HANDS LAP. REST. THINKING IS ALLOWED. RELAX. HAND UP IN FRONT, HEAVY BOWL. BOTH HANDS UP TOGETHER. TASTE SWEET AND S","STIFF HANDS, LIFT LEFT HEAVY HAND OFF MY LAP. I DIDNT HEAR THE HAPPY BIRTHDAY SONG. COUNTING FROM ONE TO TWENTY TO RELAX AND WAK",1,3,5,0,66.9594,42,25,74,1,498,0,18,0,BLUE ORANGE GREEN,3,0,1,1,1,0,1,1,0,0,0,5,4,4,1,2,5,3,0,0,1,0,20,2,0,3,0,HEAVY HAND TWO HANDS TOGETHER STIFFNESS HAPPY BIRTHDAY MOSQUITO BALLS HEAVY LEFT HAND SPACE BARS TASTE SOUR AND SWEET,I CANT THINK OF ANYTHING ELSE,1,3,5,0
499,1,18,0,5,1.75,0.3,4,BLUE GREEN RED,3,1,1,0,1,1,0,1,0,0,0,5,3,4,0,0.5,2,3,1,0,2,2,17.5,1,1,1,0,I RAISED RIGHT HAND FELT HEAVY A MOSQUITO CAME DIDNT FEEL IT HAPPY BIRTHDAY PUT BOTH HANDS TOGETHER AND FORCED SAW THREE BALLS O,"I REMEMBERED EVERYTHING BEFORE. HAND MOVEMENT, RELAXATION, LISTENING TO HAPPY BIRTHDAY, TASTING SWEET AND SOUR.  LEFT HAND FELT ",0,1,4,1,65.7012,26,18,64,1,499,0,18,0,BLUE RED YELLOW,3,0,1,0,1,0,1,1,0,0,0,4,1,1,0,0,0,0,0,0,1,0,3,1,0,1,0,"RAISE HAND AND FEEL BOWLING BALL, LISTENNG TO HAPPY BIRTHDAY, LISTENING TO MOSQUITO BUZZING, LOOKING AT THREE BALLS ON SCREEN, L","LOOKING AT 3 BALLS, RIGHT HAND IN FRONT AND BOWLONG BALL COMING DOWN, TWO HANDS COMING TOGETHER, BUZZING MOSQUITO, TASTE OF SOUR",0,0,1,0
509,0,18,0,2,1.05,1.05,3,GREEN BLUE RED,3,0,1,0,0,0,0,1,0,0,0,2,2,3,1,1.5,1,1,0,0,1,0,10.5,1,0,3,1,FEELING SOMETHING HEAVY IN RIGHT HAND FEELING RIGHT ARM GO STIFF FEELING A MOSQUITO FEELING LEFT ARM BECOME HEAVY HEARING HAPPY ,I CANT REMEMBER ANYTHING ADDITIONAL TO WHAT I WROTE BEFORE,0,3,5,0,68.2399,47,9,75,1,509,1,18,0,BLUE GREEN RED,3,0,1,1,1,0,0,0,0,0,0,3,3,3,0,0.5,0,0,0,0,4,0,10.5,1,0,2,0,RIGHT HAND WITH HEAVY OBJECT HANDS PALM TO PALM COMING TOGETHER MOSQUITO NEAR LEFT HAND SWEET AND SOUR TASTE IN MOUTH SEEING THE,,0,1,5,0
512,1,21,0,4,1.58,0.4,1,BLUE GREEN ORANGE,3,1,1,0,0,0,0,1,0,0,1,4,4,3,0,0,2,2,0,0,2,2.82843,15.8284,1,1,1,1,"RAISING HAND WHICH FELT HEAVY, PUTTING PALMS TOGETHER, LISTENING TO HAPPY BIRTHDAY, COLOURED BALLS ON THE SCREEN,","PRESSING THE SPACE BAR 6 TIMES, BODY FEELING HEAVY,",0,0,4,2,71.6829,32,23,66,1,512,0,21,0,GREEN ORANGE BLUE,3,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,4,1,0,1,0,"ARM FEELING HEAVY, BEING TOLD ARMS PULLED TOGETHER, TOLD ARM WILL FEEL NUMB, SWEET TASTE, SOUR TASTE, MOSQUITO, HAPPY BIRTHDAY, ",COLOURED BALLS,0,0,2,0
513,1,19,0,3,2,1.9,6,GREEN RED BLUE,3,1,1,1,0,0,0,0,0,0,0,3,4,5,2,0,3,4,0,0,2,0,20,1,0,1,0,I WAS TOLD TO RELAX AND THEN MY WHOLE BODY RELAXED AND WENT HEAVY. I HAD TO FOCUS ON BREATHING AND INDIVIDUAL MUSCLES. I LOOKED ,MY RIGHT HAND AND ARM WAS STIFF AND SO WAS MY LEFT ARM AND HAND.,0,0,5,0,70.9931,41,17,73,1,513,0,19,0,RED BLUE GREEN,3,0,1,1,1,1,0,1,0,1,0,6,5,4,2,0,3,4,0,0,1,0,19,1,0,1,1,"MOSQUITO BIT MY HAND, RED, BLUE AND GREEN BALL, I PRESSED THE SPACEBAR 6 TIMES, MY RIGHT ARM WAS STIFF, MY LEFT ARM AND HAND WAS",I WAS TOLD TO IMAGINE BEING ON STAIRS AND WALKING DOWN THEM AND FEELING MY FEET WALKING DOWN STAIRS. I WAS TOLD I WOULD FEEL HEA,0,0,5,0
514,1,20,0,2,0.95,0.75,1,RED BLUE GREEN,3,1,0,0,1,0,0,0,0,0,0,2,3,2,0,0.5,1,1,0,0,2,0,9.5,2,0,1,0,RIGHT ARM HOLD IT OUT IT GETS HEAVY RIGHT ARM FEELS LIKE ITS IN A SPLINT RIGHT HAND GETS BIT BY A MOSQIUTO LEFT HAND FEELS HAPPY,LIST THE COLOURS OF THE BALLS PRESENTED ON SCREEN,1,0,0,0,73.4576,39,17,65,1,514,0,20,0,GREEN BLUE RED,3,0,0,1,0,0,0,0,0,0,0,1,4,1,0,1.5,0,0,0,0,1,0,7.5,2,0,2,0,COLOUR OF BALLS PRESS SPACE BAR 6 TIMES MOSQUITO LANDING ON HAND RAISE HAND WHEN YOU HEAR HAPPY BIRTHDAY HOLD RIGH HAND UP AND I,,1,2,0,0
519,1,18,0,3,1.2,1.1,2,BLUE GREEN RED,3,1,1,0,0,0,0,1,0,0,0,3,5,5,0,0,2,0,0,0,0,0,12,1,1,1,1,"BOWLING BALL , MOSQUITO , HAPPY BIRTHDAY SONG , 3 BALLS NOT 2 , HEAVY HAND , STIFF ARM , PRESS SPACE BAR 6 TIMES , HANDS MOVING ",TASTE - LEMON AND SUGAR,0,0,0,0,68.6011,36,10,64,1,519,0,18,0,BLUE GREEN RED,3,0,0,1,0,0,0,0,0,1,0,2,5,1,0,2,1,2,0,0,0,0,11,1,1,2,1,"HEAVY HAND ,  HANDS CLOSER TOGETHER , SWEET AND SOUR TASTE , MOSQUITO , HAPPY BIRTHDAY , SPACE BAR 6 TIMES ,STIFF ARM ,HEAVY LEF",3 BALLS OR 2 BALLS - THE COLOUR OF THEM,3,1,1,0
520,0,43,0,3,1.7,1.9,5,RED GREEN BLUE,3,0,1,0,1,1,0,0,0,0,0,3,3,3,4,0,3,4,0,0,0,0,17,1,0,1,0,"WALKED DOWN STEPS, HELD OUT ARMS, HELD BOWLING BALL, LISTENED TO MOSQUITO, HEARD HAPPY BRTHDAY, IMAGINED COLOURED BALLS",PRESSING HAND INTO LAP AS HEAVY,0,0,0,0,67.3085,20,21,45,1,520,1,43,0,RED GREEN BLUE,3,0,1,0,1,1,1,1,0,0,0,5,4,3,3,0,4,4,0,0,1,0,19,1,0,1,0,"HEAVY HANDS, MOSQUITO, HANDS COMING TOGETHER, HAPPY BORTHDAY SONG, RIGID ARM, PRESS SPACEBAR SIX TIMES",,0,0,5,0
522,0,19,1,0,0.35,0.1,1,GREEN BLUE RED,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,1,1,0,0,0,0,3.5,2,0,1,0,HEAVY ARMS STIFF ARM HANDS PULLED TOGETHER SWEET AND SOUR TONGUE HEAVY LEFT HAND BALLS RED BLUE GREEN PRESS SAPCE BAR SIX TIMES ,STAIRS,1,0,0,0,68.3377,33,19,69,1,522,1,19,1,BLUE RED GREEN,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,"HEAVY ARM, STIFF ARM, HEAVY LEFT HAND, MOSQUITO, SWEET AND SOUR TASTE, 6 SPACE BAR, RED GREEN AND BLUE BALLS, HAPPY BIRTHDAY",,0,0,0,0
526,0,18,0,7,3.1,2.23,5,RED BLUE,2,1,0,1,1,1,0,1,1,1,0,7,5,4,2,2,5,4,0,5,4,0,31,2,1,3,1,RAISED MY HAND AND FELT IT BEING PUSHED DOWN DUE TO A WEIGHT. FELT MY OTHER LEFT ARM AND HAND FEELING HEAVY AND NUMB. CLOSED MY ,HEAD A FLY BUZZ AROUND MY RIGHT ARM. FELT A SWEET AND THEN A SOUR TASTE IN MY MOUTH. FELT MY HANDS BEING PULLED TOGETHER BY A FO,1,3,5,0,61.992,11,20,48,1,526,1,18,0,"RED, GREEN AND BLUE ",3,0,0,1,1,0,1,1,0,1,0,5,4,4,0,0.5,5,2,0,0,4,2.82843,22.3284,1,0,2,1,"RIGHT ARM BEING WEIGHED DOWN, BOTH ARMS BEING ATTRACTED BY A FORCE, LEFT ARM FEELING HEAVY, SPOTTING 3 BALLS, HAPPY BIRTHDAY TUN","MOSQUITO BUZZING, HAND FEELING STIFF",0,1,4,2
