Durationinseconds,age,gender,Q20_PageSubmit,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Beliefquestions_1,Beliefquestions_2,Beliefquestions_3,Beliefquestions_4,Beliefquestions_5,Beliefquestions_6,Beliefquestions_7,Beliefquestions_8,past_life_experience,out_of_body_experience,spirit_world_experience,past_life_belief,out_of_body_belief,spirit_world_belief,Combined_anomalous_experience,CODE,age...34,gender.x,@1handlowersubj.x,@2handtogethersubj.x,@3mosquitosubj.x,@4TasteAverage.x,@5rigidsubj.x,@6immobilizationsubj.x,@7musicsubj.x,@8ballssubj.x,@9amnesiasubj.x,@10spaceGeoMean.x,@10spacebarsubj1.x,@10spacebarsubj2.x,@4Tastesweetsubj.x,@4Tastesoursubj.x,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q25_16,Q25_17,Q25_18,Q25_19,Q25_20,Q25_21,Q25_22,Q25_23,Q25_24,Q25_25,Q25_26,Q25_27,Q25_28,DEStime_PageSubmit,DES_score,DES_mean_centred,PCS,PCS_meancentred,DESxPCS
65,20,Woman,37.646,2,3,1,2,3,1,4,1,2,1,2,0,-1,0,-1,0,0,-1,-1,2,2,2,-0.5,-0.5,-0.5,2,352,20,Woman,4,1,4,1,0,2,0,0,0,0,0,4,2,0,4,8,3,7,4,5,5,4,6,3,8,3,6,4,4,5,6,2,7,5,4,8,4,7,6,4,7,8,56.075,5.25,2.633536585,1.2,-0.589148343,-1.552
56,19,Woman,27.767,0,4,1,3,3,2,4,3,3,3,3,-1,1,-1,2,2,-1,1,-1,1.666666667,2.666666667,3.2,0,0.5,0.25,2.511111111,148,18,Woman,3,4,5,2,2,3,0,0,3,2.236067977,1,5,1,3,7,5,8,3,4,7,5,3,5,6,6,3,3,7,4,7,6,6,6,7,6,3,7,7,6,4,7,0,122.02,5.285714286,2.669250871,2.423606798,0.634458455,1.694
192,20,Woman,116.641,0,2,3,1,0,0,4,1,0,0,4,1,0,1,-2,-2,1,2,-1,1.666666667,0.333333333,1.8,0.5,-0.5,0,1.266666667,801,19,Woman,5,5,2,0.5,5,3,0,0,2,1.73,1,3,1,0,7,8,2,0,1,1,0,4,6,3,6,10,0,3,9,10,5,3,10,8,8,8,10,10,4,2,0,10,552.015,5.285714286,2.669250871,2.423,0.633851657,1.692
182,18,Woman,86.23,0,0,0,2,0,0,2,0,0,0,0,0,1,0,-1,-1,1,0,-1,0,0.666666667,0.4,0.5,-0.5,-0.25,0.355555556,184,18,Woman,4,0,0,0,1,0,0,0,0,1,1,1,0,0,7,8,8,2,0,0,2,0,3,8,8,8,8,1,9,4,7,7,8,8,8,4,5,7,6,1,7,4,327.764,5.285714286,2.669250871,0.6,-1.189148343,-3.174
136,19,Woman,71.221,3,3,2,4,4,5,3,2,1,1,1,1,-1,1,1,-1,-1,-1,-1,2.666666667,4.333333333,1.6,0,1,-1,2.866666667,285,19,Woman,4,4,3,2.5,3,3,3,2,2,0,0,5,3,2,4,7,4,2,4,4,6,1,5,6,8,8,9,7,7,6,3,6,4,6,6,7,3,5,5,3,7,7,173.426,5.357142857,2.740679442,2.65,0.860851657,2.359
189,18,Woman,105.655,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,1,1,1,0,0.333333333,0,1.5,1,0.75,0.111111111,396,18,Woman,3,5,1,3.5,3,1,0,1,3,1.414213562,2,1,3,4,8,10,4,1,5,3,3,0,7,4,1,7,1,2,9,6,8,10,1,10,2,8,8,9,9,3,9,2,296.103,5.357142857,2.740679442,2.191421356,0.402273013,1.103
160,19,Man,46.197,0,0,0,5,2,5,0,0,0,0,0,-2,-2,-2,-2,-2,-2,1,-2,0,4,0,-2,-2,-1.25,1.333333333,208,19,Man,5,4,0,0,4,3,2,0,3,0,0,0,0,0,8,7,8,0,5,4,3,4,4,5,4,3,3,4,3,4,3,6,7,7,7,7,6,9,9,9,6,5,54.909,5.357142857,2.740679442,2.1,0.310851657,0.852
111,19,Woman,61.723,0,0,0,2,1,0,0,0,0,0,0,-2,-2,-1,-2,1,-2,-2,-2,0,1,0,-2,-1.5,-1.25,0.333333333,79,19,Woman,5,4,4,1,1,3,0,1,2,0,0,0,0,2,8,8,6,1,4,8,2,0,1,4,7,2,6,4,8,8,8,8,4,9,1,10,9,8,7,9,0,0,209.807,5.357142857,2.740679442,2.1,0.310851657,0.852
210,18,Man,91.949,4,3,0,3,1,5,0,0,0,0,1,1,1,0,-1,-2,-1,-2,-2,2.333333333,3,0.2,1,-0.5,-1.75,1.844444444,117,18,Man,2,0,0,3,3,2,0,0,0,0,1,0,4,2,4,7,6,1,3,6,9,6,7,2,8,10,1,3,5,4,4,7,8,7,0,5,10,7,4,4,8,9,298.504,5.535714286,2.919250871,1,-0.789148343,-2.304
171,18,Woman,97.502,1,3,1,4,4,2,4,4,2,0,1,2,2,2,1,2,2,2,2,1.666666667,3.333333333,2.2,2,1.5,2,2.4,46,18,Woman,5,4,0,0.5,4,1,0,0,1,1.732050808,3,1,1,0,5,9,1,0,3,0,4,0,1,8,10,9,9,10,10,3,10,10,4,10,5,10,5,9,2,1,6,3,146.355,5.607142857,2.990679442,1.723205081,-0.065943262,-0.197
