Age ,Q6,Q4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q25_16,Q25_17,Q25_18,Q25_19,Q25_20,Q25_21,Q25_22,Q25_23,Q25_24,Q25_25,Q25_26,Q25_27,Q25_28,DES time_Page Submit,DES_score,CODE,age,gender,PCSscore,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
21,Woman,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,112.773,0.071428571,856,20,Woman,0.55,0,2,0,0.5,0,0,0,0,3,0,0,2,0,1
19,Man,1,4,3,7,6,2,4,3,3,3,6,7,7,3,1,3,2,3,2,6,7,6,3,3,6,2,2,1,2,221.956,3.821428571,94,19,Man,0.6,2,3,0,0,1,0,0,0,0,0,3,0,0,0
20,Woman,1,2,7,0,0,1,0,3,1,7,2,7,5,7,0,3,3,6,9,5,9,3,3,4,4,3,3,1,6,419.675,3.714285714,564,19,Woman,0.6,1,0,0,0,0,0,3,0,2,0,5,0,0,0
18,Woman,1,7,8,8,2,0,0,2,0,3,8,8,8,8,1,9,4,7,7,8,8,8,4,5,7,6,1,7,4,327.764,5.285714286,184,18,Woman,0.6,4,0,0,0,1,0,0,0,0,1,1,1,0,0
18,Man,1,2,5,3,0,0,1,0,0,1,1,1,1,0,5,3,2,3,7,4,5,1,1,8,10,6,2,2,0,573.198,2.642857143,279,18,Man,0.6,0,0,0,1,1,1,0,0,3,0,5,0,0,2
20,Woman,1,1,3,3,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,2,1,4,0,3,1,1,0,0,0,630.478,0.857142857,701,19,Woman,0.6,0,2,0,1,1,2,0,0,0,0,0,5,1,1
19,Man,1,3,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,1,1,1,2,1,0,0,0,0,0,1200.824,0.642857143,27,19,Man,0.6,2,1,0,0,3,0,0,0,0,0,0,5,0,0
19,Man,1,2,4,0,0,0,2,6,0,0,3,2,2,3,3,7,1,2,2,1,5,6,2,3,4,1,1,0,0,233.547,2.214285714,80,18,Man,0.55,0,0,0,0.5,0,0,0,0,5,0,0,0,1,0
18,Woman,1,4,5,1,1,1,0,0,0,0,2,0,0,0,4,3,1,1,3,2,5,4,2,2,2,1,0,0,0,215.581,1.571428571,490,18,Woman,0.65,4,1,0,0.5,1,0,0,0,0,0,5,0,1,0
21,Woman,1,2,5,0,0,0,1,0,1,1,1,0,3,0,2,8,2,3,6,4,2,3,7,4,6,3,1,2,4,240.455,2.535714286,537,20,Woman,0.65,2,1,0,0.5,0,0,0,0,3,0,0,0,0,1
