Booklet,UNIVERSITY,Participantnumber,Age,Sex,Objectivescore,Objectivereturnscore,Subjectivescore,Subjectivereturnscore,Inductionrating,Q1HANDLOWEROBB,Q1HANDLOWERSUBJ,Q2MAGNETICOBJ,Q2MAGNETICSUBJ,Q3MOSQUITOOBJ,Q3MOSQUITOSUBJ,Q4TASTEOBJ,TASTEMEAN,Q4TASTE1SUBJ,Q4TASTE2SUBJ,Q5RIGIDITYOBJ,Q5RIGIDITYSUBJ,Q6IMMOBILEOBJ,Q6IMMOBILESUBJ,Q7MUSICOBJ,Q7MUSICSUBJ,Q8BALLSOBJ,Q8BALLSSUBJ,Q9AMNESIAOBJ,Q9AMNESIASUBJ,Q10PHSOBJ,Q10PHSSUBJ1,Q10PHSSUBJ2,PHSSUBJECTIVEGEOMETRICMEAN
1,1,140,18,Male,2, ,1.4,,1,1,3,1,5,0,0,0,0.5,1,0,0,3,0,2,0,0,0,0,0,0,0,5,0,0
2,1,237,18,Female,5, ,1.4,,2,1,4,1,4,0,0,1,0.5,0,1,0,0,1,0,0,0,0,0,0,1,1,4,4,4
2,2,364,18,Female,3, ,1.4,,2,1,5,1,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,5,0,0
1,1,121,18,Male,5, ,1.4,,1,1,3,1,3,1,1,1,1,1,1,0,2,0,1,0,1,0,0,0,2,1,5,0,0
2,2,354,18,Male,3, ,1.4,,3,1,4,1,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,4,0,0
1,1,216,18,Female,2, ,1.4,,3,1,4,1,4,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0
2,1,317,18,Female,3, ,1.4,,1,0,3,1,2,0,0,0,1,0,2,1,1,0,3,0,0,0,0,1,2,0,2,3,2.449489743
1,1,85,18,Male,4, ,1.5,,1,1,2,1,2,0,0,0,0.5,0,1,1,3,1,4,0,0,0,0,0,1,0,2,2,2
1,1,47,18,Female,3, ,1.5,,4,1,4,1,3,0,0,0,0.5,0,1,0,3,0,2,0,0,0,0,0,2,1,5,0,0
2,2,359,18,Female,6, ,1.5,,3,1,4,1,3,0,0,0,0,0,0,1,2,1,4,0,0,0,0,1,2,1,3,0,0
1,1,40,18,Female,3,2,1.5,1.4,3,1,4,1,4,0,0,0,1,2,0,0,3,0,3,0,0,0,0,0,0,1,5,0,0
2,2,435,18,Female,1, ,1.5,,3,1,4,0,3,0,0,0,2,3,1,0,2,0,3,0,0,0,0,0,1,0,2,0,0
2,1,313,18,Female,5, ,1.5,,2,1,3,1,3,0,0,1,3,3,3,1,2,0,3,0,0,0,0,0,1,1,4,0,0
2,1,251,18,Female,6, ,1.5,,3,1,3,1,3,0,1,1,1,1,1,1,3,1,3,0,0,0,0,0,1,1,3,0,0
1,1,69,18,Female,5,2,1.5,1.4,3,1,4,0,1,0,0,0,1.5,3,0,1,3,1,2,0,1,0,0,1,0,1,4,2,2.828427125
1,1,3,18,Female,5, ,1.6,,1,1,3,1,2,0,0,1,2.5,3,2,1,4,1,3,0,0,0,0,0,1,0,2,0,0
1,1,206,18,Female,1, ,1.6,,3,0,5,0,5,0,0,0,0.5,0,1,1,3,0,2,0,0,0,0,0,0,0,2,0,0
1,1,38,18,Male,5, ,1.6,,3,1,4,1,3,0,1,0,2.5,3,2,1,1,1,4,0,0,0,0,0,0,1,2,0,0
1,1,58,18,Female,5,3,1.6,1.0,2,1,4,1,3,0,1,0,0,0,0,1,3,1,4,0,0,0,0,0,1,1,5,0,0
1,1,192,18,Female,4, ,1.6,,1,1,3,1,1,0,1,1,4,5,3,1,5,0,2,0,0,0,0,0,0,0,1,0,0
2,1,258,18,Female,2, ,1.6,,3,1,4,1,4,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,5,0,0,5,0
1,1,43,18,Female,5,2,1.6,0.9,4,1,5,1,5,0,0,1,2,3,1,0,3,1,0,0,0,0,0,1,1,0,0,2,0
2,2,386,18,Female,5, ,1.6,,3,1,3,1,2,0,1,1,2,2,2,1,3,1,3,0,0,0,0,0,1,0,1,2,1.414213562
2,2,400,18,Female,4, ,1.7,,2,1,4,1,4,0,1,0,0.5,0,1,1,4,0,2,0,0,0,0,0,1,1,4,0,0
1,1,120,18,Female,3,5,1.7,2.3,3,1,4,1,5,0,1,0,0.5,1,0,0,3,0,2,0,0,0,0,0,1,1,5,0,0
